qtr;time_remaining;result;shot_type;distance_ft;lead
4th Qtr;2:32;True;3;29;True
4th Qtr;2:05;False;2;6;True
4th Qtr;1:42;True;2;4;True
1st Qtr;9:20;False;3;23;True
1st Qtr;7:42;True;2;16;True
1st Qtr;7:20;True;3;25;True
1st Qtr;5:35;True;2;8;True
1st Qtr;3:55;True;3;27;True
1st Qtr;3:05;False;3;27;True
2nd Qtr;2:04;False;3;27;True
2nd Qtr;1:38;False;3;25;True
2nd Qtr;0:43;False;2;1;True
3rd Qtr;6:05;True;3;28;True
3rd Qtr;2:57;True;2;2;True
4th Qtr;6:49;False;2;18;True
4th Qtr;6:17;False;2;13;True
4th Qtr;5:45;False;3;32;True
4th Qtr;5:05;True;3;28;True
4th Qtr;4:28;False;3;27;True
1st Qtr;11:36;False;3;29;False
1st Qtr;8:33;False;3;25;False
1st Qtr;6:26;False;2;16;False
1st Qtr;5:22;False;3;26;False
1st Qtr;2:42;True;3;27;False
1st Qtr;1:22;True;2;13;False
1st Qtr;0:52;True;2;4;False
2nd Qtr;5:48;True;2;2;False
2nd Qtr;4:21;True;3;26;False
2nd Qtr;3:03;True;3;25;False
2nd Qtr;1:57;False;3;26;False
2nd Qtr;1:34;False;3;26;False
2nd Qtr;0:00;False;3;26;False
3rd Qtr;7:12;True;2;13;False
3rd Qtr;6:26;True;2;1;False
3rd Qtr;5:58;True;3;25;False
3rd Qtr;1:41;False;2;3;False
3rd Qtr;1:24;False;3;28;False
4th Qtr;5:34;False;3;28;True
4th Qtr;4:49;False;2;18;True
4th Qtr;4:25;False;3;25;True
4th Qtr;2:09;True;3;23;True
4th Qtr;1:37;False;2;1;False
4th Qtr;1:19;True;2;3;False
1st Qtr;7:50;True;3;27;True
2nd Qtr;6:48;True;3;27;True
2nd Qtr;4:18;False;2;20;True
2nd Qtr;1:52;False;2;21;True
2nd Qtr;1:14;False;3;29;True
2nd Qtr;0:48;True;3;27;True
3rd Qtr;9:02;True;2;11;True
3rd Qtr;7:45;True;3;29;True
3rd Qtr;5:31;False;3;32;True
3rd Qtr;2:37;False;2;12;True
4th Qtr;5:32;True;2;7;True
4th Qtr;4:50;False;2;20;True
4th Qtr;3:44;False;3;28;True
4th Qtr;3:07;False;2;7;True
4th Qtr;3:02;False;3;24;True
4th Qtr;0:21;False;2;6;True
1st Qtr;8:13;True;2;4;True
1st Qtr;6:20;True;3;30;True
1st Qtr;5:31;False;3;31;True
1st Qtr;4:32;True;3;23;True
1st Qtr;3:24;True;3;23;True
1st Qtr;2:21;False;3;27;True
2nd Qtr;4:41;False;2;5;True
2nd Qtr;3:50;False;3;27;True
2nd Qtr;2:52;False;3;28;True
